t_step,month,demand_observed,rl_recommended_order_qty_raw,rl_recommended_order_qty_guarded
188,12,0.7902972788648429,19,20
188,12,2.423704080950341,19,20
188,12,389.882587777904,19,20
188,12,46.23805436414326,19,20
188,12,52.57989587739802,19,20
189,12,0.9249444940665378,19,20
189,12,33.69155143506526,19,20
189,12,275.276553210515,18,20
189,12,3.148408592680762,19,20
189,12,44.0443692202572,19,20
190,12,480.4361043473241,19,20
190,12,3.346920345909358,19,20
190,12,0.7400644778580797,19,20
190,12,32.60390729416684,19,20
190,12,37.10752213293529,19,20
191,12,0.8231499834315079,19,20
191,12,30.50338458530829,19,20
191,12,398.1363588808267,18,20
191,12,2.420207949591576,19,20
